R ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.177,0.798,0.377,0.494,0.456,106.1,0.423,1,1.084,0.923,0.944
2,0.176,0.799,0.431,0.509,0.442,88.933,0.511,2,1.153,0.868,0.948
3,0.17,0.8,0.469,0.476,0.456,123.216,0.536,3,1.044,0.958,0.961
4,0.164,0.8,0.504,0.475,0.439,164.328,0.561,4,1.083,0.923,0.962
5,0.171,0.796,0.557,0.48,0.452,90.34,0.544,5,1.061,0.943,0.963
6,0.171,0.795,0.577,0.481,0.452,94.429,0.585,6,1.064,0.94,0.972
7,0.165,0.798,0.608,0.47,0.446,167.742,0.638,7,1.054,0.949,0.971
8,0.165,0.792,0.591,0.464,0.452,176.01,0.642,8,1.027,0.974,0.97
9,0.17,0.79,0.61,0.484,0.448,88.742,0.668,9,1.08,0.926,0.975
10,0.167,0.789,0.614,0.466,0.457,123.806,0.718,10,1.018,0.982,0.977
11,0.163,0.788,0.621,0.47,0.44,170.85,0.75,11,1.068,0.936,0.977
12,0.168,0.786,0.625,0.471,0.453,89.682,0.718,12,1.04,0.961,0.976
13,0.17,0.784,0.617,0.478,0.453,91.609,0.635,13,1.054,0.948,0.974
14,0.165,0.78,0.614,0.471,0.446,170.611,0.669,14,1.056,0.947,0.973
15,0.165,0.78,0.603,0.463,0.455,1.948,0.628,15,1.019,0.982,0.976
16,0.172,0.777,0.597,0.486,0.45,87.122,0.79,16,1.078,0.927,0.979
17,0.168,0.774,0.581,0.466,0.459,130.183,0.731,17,1.016,0.985,0.975
18,0.163,0.772,0.562,0.469,0.443,179.612,0.633,18,1.06,0.943,0.971
19,0.17,0.77,0.535,0.476,0.454,81.136,0.698,19,1.05,0.952,0.975
20,0.172,0.768,0.508,0.483,0.453,87.235,0.667,20,1.066,0.938,0.974
21,0.167,0.762,0.473,0.47,0.451,176.457,0.615,21,1.042,0.96,0.966
22,0.168,0.762,0.433,0.465,0.46,24.214,0.63,22,1.012,0.988,0.967
23,0.177,0.756,0.384,0.495,0.454,81.12,0.518,23,1.09,0.917,0.953
24,0.165,0.755,0.345,0.498,0.421,179.928,0.36,24,1.181,0.847,0.939
25,0.165,0.753,0.33,0.501,0.42,179.63,0.392,25,1.193,0.838,0.942
26,0.171,0.749,0.348,0.486,0.449,1.899,0.423,26,1.081,0.925,0.947
27,0.178,0.745,0.388,0.49,0.462,95.016,0.453,27,1.061,0.943,0.943
28,0.182,0.745,0.414,0.524,0.441,90.283,0.476,28,1.187,0.842,0.945
29,0.173,0.741,0.444,0.484,0.456,82.531,0.548,29,1.063,0.941,0.955
30,0.169,0.736,0.448,0.472,0.457,173.32,0.503,30,1.034,0.967,0.961
31,0.171,0.733,0.452,0.473,0.461,102.801,0.638,31,1.027,0.974,0.973
32,0.176,0.729,0.447,0.5,0.448,88.035,0.682,32,1.116,0.896,0.971
33,0.168,0.725,0.43,0.469,0.457,13.666,0.649,33,1.026,0.975,0.972
34,0.169,0.718,0.401,0.471,0.457,172.566,0.536,34,1.032,0.969,0.957
35,0.177,0.711,0.371,0.488,0.461,84.485,0.4,35,1.059,0.945,0.923
36,0.168,0.704,0.346,0.486,0.441,3.776,0.346,36,1.103,0.906,0.938
37,0.172,0.699,0.34,0.484,0.452,3.22,0.324,37,1.072,0.933,0.925
38,0.175,0.698,0.354,0.479,0.464,151.432,0.388,38,1.033,0.968,0.94
39,0.173,0.693,0.375,0.472,0.467,100.813,0.441,39,1.011,0.989,0.95
40,0.18,0.685,0.396,0.506,0.454,85.082,0.483,40,1.113,0.898,0.953
41,0.176,0.679,0.403,0.488,0.46,96.344,0.574,41,1.06,0.943,0.957
42,0.175,0.675,0.404,0.488,0.457,97.608,0.567,42,1.067,0.937,0.957
43,0.177,0.67,0.38,0.489,0.46,93.896,0.454,43,1.062,0.942,0.948
44,0.17,0.667,0.364,0.481,0.449,5.206,0.388,44,1.071,0.933,0.939
45,0.174,0.663,0.349,0.478,0.462,166.68,0.329,45,1.034,0.967,0.93
46,0.172,0.657,0.346,0.482,0.455,176.928,0.37,46,1.058,0.945,0.934
47,0.177,0.653,0.357,0.475,0.474,60.583,0.318,47,1.004,0.996,0.925
48,0.178,0.643,0.38,0.492,0.461,101.603,0.452,48,1.068,0.937,0.945
49,0.175,0.641,0.396,0.481,0.464,109.751,0.486,49,1.037,0.965,0.954
50,0.176,0.636,0.399,0.49,0.458,95.126,0.54,50,1.071,0.933,0.955
