 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.126,0.732,0.829,0.413,0.389,102.755,0.662,1,1.059,0.944,0.877
2,0.13,6.586,0.641,0.413,0.401,125.183,0.813,1,1.031,0.97,0.941
3,0.125,0.735,0.867,0.421,0.377,95.842,0.763,2,1.117,0.896,0.918
4,0.129,6.581,0.684,0.437,0.377,83.864,0.845,2,1.159,0.863,0.943
5,0.12,0.742,0.896,0.394,0.387,79.297,0.785,3,1.019,0.981,0.928
6,0.124,6.584,0.718,0.409,0.387,103.827,0.728,3,1.057,0.946,0.913
7,0.121,0.748,0.923,0.41,0.375,87.175,0.824,4,1.092,0.916,0.923
8,0.118,6.588,0.75,0.396,0.381,28.792,0.846,4,1.039,0.963,0.948
9,0.118,0.747,0.964,0.398,0.378,94.335,0.821,5,1.052,0.951,0.94
10,0.12,6.596,0.785,0.405,0.376,99.928,0.899,5,1.078,0.928,0.955
11,0.11,0.753,1.006,0.391,0.358,2.775,0.879,6,1.093,0.915,0.941
12,0.118,6.599,0.815,0.391,0.385,123.148,0.89,6,1.016,0.984,0.954
13,0.113,0.752,1.02,0.386,0.373,5.655,0.797,7,1.036,0.965,0.94
14,0.113,6.6,0.845,0.39,0.37,3.909,0.838,7,1.055,0.948,0.946
15,0.114,0.745,1.047,0.393,0.37,74.736,0.84,8,1.063,0.941,0.943
16,0.115,6.61,0.866,0.395,0.372,94.852,0.864,8,1.06,0.943,0.948
17,0.11,0.75,1.077,0.384,0.364,13.055,0.855,9,1.055,0.948,0.943
18,0.116,6.612,0.884,0.386,0.382,120.765,0.908,9,1.01,0.99,0.959
19,0.116,0.749,1.087,0.387,0.38,55.289,0.871,10,1.018,0.982,0.947
20,0.113,6.618,0.903,0.389,0.369,8.2,0.906,10,1.053,0.95,0.956
21,0.117,0.755,1.101,0.4,0.372,88.192,0.82,11,1.075,0.93,0.946
22,0.118,6.62,0.926,0.397,0.379,87.566,0.892,11,1.048,0.954,0.954
23,0.111,0.751,1.122,0.387,0.365,7.819,0.817,12,1.062,0.942,0.937
24,0.115,6.631,0.945,0.388,0.378,177.65,0.903,12,1.028,0.973,0.951
25,0.114,0.755,1.136,0.383,0.379,7.725,0.847,13,1.013,0.988,0.946
26,0.114,6.629,0.96,0.391,0.37,9.972,0.9,13,1.056,0.947,0.95
27,0.116,0.76,1.154,0.394,0.376,86.586,0.784,14,1.047,0.955,0.945
28,0.118,6.642,0.978,0.397,0.379,86.46,0.904,14,1.048,0.954,0.953
29,0.112,0.762,1.17,0.393,0.363,7.699,0.895,15,1.083,0.924,0.957
30,0.115,6.647,0.988,0.384,0.38,23.336,0.897,15,1.01,0.99,0.95
31,0.115,0.768,1.176,0.387,0.379,92.436,0.883,16,1.021,0.98,0.948
32,0.114,6.651,0.996,0.395,0.368,5.637,0.892,16,1.073,0.932,0.957
33,0.117,0.767,1.19,0.399,0.374,91.08,0.878,17,1.068,0.936,0.948
34,0.118,6.658,1.007,0.393,0.382,94.368,0.855,17,1.029,0.972,0.952
35,0.111,0.774,1.207,0.386,0.368,8.396,0.895,18,1.049,0.953,0.952
36,0.115,6.667,1.017,0.39,0.376,179.028,0.893,18,1.039,0.962,0.951
37,0.115,0.772,1.213,0.388,0.378,56.795,0.903,19,1.025,0.976,0.957
38,0.113,6.672,1.031,0.395,0.365,2.381,0.866,19,1.081,0.925,0.943
39,0.119,0.78,1.223,0.397,0.382,82.162,0.91,20,1.039,0.963,0.956
40,0.117,6.68,1.038,0.396,0.377,104.321,0.903,20,1.05,0.952,0.958
41,0.115,0.779,1.232,0.387,0.378,6.92,0.9,21,1.026,0.974,0.956
42,0.118,6.688,1.041,0.391,0.384,153.095,0.889,21,1.018,0.982,0.952
43,0.116,0.785,1.237,0.39,0.379,54.051,0.901,22,1.029,0.971,0.956
44,0.116,6.694,1.051,0.391,0.38,3.581,0.912,22,1.029,0.972,0.958
45,0.118,0.787,1.248,0.4,0.376,78.673,0.905,23,1.064,0.94,0.957
46,0.12,6.702,1.058,0.397,0.385,84.987,0.904,23,1.033,0.968,0.954
47,0.113,0.79,1.26,0.39,0.367,15.895,0.869,24,1.061,0.942,0.949
48,0.119,6.705,1.061,0.395,0.384,166.322,0.92,24,1.027,0.974,0.962
49,0.116,0.792,1.261,0.388,0.38,56.013,0.898,25,1.021,0.98,0.958
50,0.116,6.715,1.067,0.388,0.382,177.477,0.899,25,1.015,0.985,0.95
51,0.118,0.793,1.264,0.397,0.378,74.743,0.906,26,1.051,0.952,0.959
52,0.119,6.721,1.067,0.397,0.381,95.165,0.85,26,1.044,0.958,0.942
53,0.114,0.796,1.264,0.395,0.366,176.084,0.877,27,1.077,0.929,0.95
54,0.12,6.732,1.066,0.394,0.386,1.905,0.876,27,1.02,0.981,0.945
55,0.115,0.801,1.27,0.383,0.381,152.445,0.885,28,1.005,0.995,0.949
56,0.117,6.738,1.068,0.392,0.38,6.208,0.887,28,1.031,0.97,0.949
57,0.117,0.804,1.269,0.392,0.378,109.654,0.879,29,1.037,0.965,0.95
58,0.118,6.747,1.064,0.395,0.38,101.665,0.838,29,1.041,0.961,0.956
59,0.114,0.808,1.264,0.394,0.368,0.864,0.896,30,1.071,0.933,0.954
60,0.118,6.754,1.062,0.396,0.381,6.516,0.875,30,1.039,0.963,0.953
61,0.115,0.812,1.267,0.385,0.379,130.279,0.897,31,1.014,0.986,0.948
62,0.118,6.761,1.059,0.39,0.384,12.21,0.921,31,1.016,0.984,0.955
63,0.116,0.813,1.266,0.388,0.381,95.192,0.855,32,1.018,0.983,0.953
64,0.121,6.768,1.058,0.401,0.383,91.08,0.914,32,1.046,0.956,0.962
65,0.112,0.807,1.258,0.387,0.367,8.981,0.792,33,1.054,0.949,0.941
66,0.12,6.779,1.049,0.4,0.38,7.06,0.914,33,1.054,0.949,0.958
67,0.116,0.816,1.251,0.386,0.384,25.459,0.898,34,1.005,0.995,0.953
68,0.116,6.792,1.044,0.392,0.378,10.193,0.884,34,1.037,0.964,0.948
69,0.117,0.824,1.249,0.39,0.38,103.752,0.908,35,1.027,0.974,0.958
70,0.121,6.791,1.04,0.397,0.389,88.722,0.891,35,1.021,0.98,0.957
71,0.112,0.824,1.241,0.386,0.37,8.257,0.901,36,1.045,0.957,0.953
72,0.116,6.799,1.029,0.396,0.374,6.881,0.884,36,1.059,0.944,0.952
73,0.118,0.826,1.229,0.393,0.382,61.338,0.895,37,1.03,0.971,0.957
74,0.116,6.808,1.021,0.395,0.374,176.833,0.896,37,1.058,0.945,0.95
75,0.117,0.836,1.226,0.394,0.38,79.087,0.924,38,1.038,0.964,0.961
76,0.118,6.822,1.005,0.393,0.383,70.633,0.869,38,1.026,0.974,0.943
77,0.113,0.835,1.214,0.391,0.367,15.188,0.91,39,1.065,0.939,0.958
78,0.116,6.828,0.995,0.396,0.374,18.312,0.841,39,1.058,0.945,0.947
79,0.118,0.84,1.202,0.39,0.385,71.479,0.904,40,1.014,0.986,0.954
80,0.118,6.841,0.985,0.392,0.385,29.291,0.875,40,1.018,0.982,0.959
81,0.117,0.849,1.194,0.388,0.385,75.047,0.865,41,1.007,0.993,0.956
82,0.12,6.854,0.965,0.394,0.389,119.728,0.894,41,1.012,0.988,0.958
83,0.114,0.849,1.177,0.399,0.365,9.475,0.883,42,1.093,0.915,0.952
84,0.118,6.859,0.945,0.403,0.374,4.289,0.891,42,1.077,0.928,0.954
85,0.117,0.859,1.168,0.388,0.383,17.237,0.859,43,1.013,0.987,0.947
