R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.222493,-0.060287,0.166907,-0.059563,0.153522,0.675311,0.419492,0.405488,0.786481,1,1.609833,0.621183,0.978963
2,0.216811,-0.047370,0.148897,-0.046926,0.134799,0.655851,0.420906,4.202459,0.811694,2,1.558189,0.641771,0.978978
3,0.248260,-0.043249,-0.119080,-0.041356,-0.137131,0.638498,0.495059,3.154498,0.857949,3,1.289741,0.775350,0.983767
4,0.262113,-0.161831,0.075403,-0.161048,0.059577,0.600776,0.555502,98.833552,0.879630,4,1.081500,0.924642,0.982086
5,0.263596,0.017894,0.305772,0.017274,0.285478,0.657527,0.510430,95.025605,0.881618,5,1.288183,0.776287,0.984571
6,0.276765,0.005528,0.378798,0.006280,0.364498,0.650398,0.541803,90.930263,0.886909,6,1.200432,0.833033,0.985014
7,0.260835,-0.086785,0.276661,-0.088613,0.255963,0.581204,0.571409,106.702282,0.905160,7,1.017141,0.983148,0.985641
8,0.241002,-0.068765,0.317284,-0.070589,0.300901,0.590861,0.519333,172.691456,0.895450,8,1.137732,0.878942,0.984386
9,0.237488,-0.034390,0.521977,-0.034928,0.507411,0.591721,0.511016,172.461359,0.890230,9,1.157930,0.863610,0.984065
10,0.262067,-0.047918,0.587632,-0.048166,0.566630,0.592475,0.563187,87.584401,0.896023,10,1.052005,0.950566,0.984862
11,0.273661,-0.062486,0.633867,-0.063211,0.614161,0.641074,0.543519,89.757480,0.894317,11,1.179487,0.847826,0.985575
12,0.265924,-0.052138,0.669974,-0.052595,0.656437,0.625423,0.541370,95.675166,0.891352,12,1.155260,0.865606,0.985078
13,0.245453,-0.032331,0.721588,-0.033449,0.703558,0.576334,0.542254,159.921433,0.904381,13,1.062849,0.940867,0.985748
14,0.239268,-0.044309,0.765041,-0.044671,0.749734,0.603139,0.505099,179.077832,0.891911,14,1.194100,0.837451,0.985570
15,0.246913,-0.038209,0.805380,-0.038443,0.790473,0.579478,0.542522,179.767687,0.899763,15,1.068117,0.936227,0.984844
16,0.261862,-0.027039,0.855945,-0.027669,0.837639,0.608803,0.547652,94.664469,0.898578,16,1.111660,0.899555,0.985654
17,0.269393,-0.027202,0.892577,-0.027109,0.878223,0.638159,0.537487,92.578361,0.894134,17,1.187301,0.842247,0.986050
18,0.259420,-0.027577,0.931696,-0.029086,0.919215,0.593725,0.556324,96.298512,0.899154,18,1.067229,0.937006,0.985521
19,0.242166,-0.023351,0.979658,-0.024434,0.962070,0.584870,0.527187,175.095817,0.891616,19,1.109416,0.901375,0.984232
20,0.235616,-0.020624,1.010749,-0.021577,1.000197,0.591922,0.506817,177.561263,0.880983,20,1.167921,0.856223,0.983941
21,0.253212,-0.019461,1.052758,-0.020488,1.041478,0.569451,0.566158,77.240352,0.906719,21,1.005816,0.994218,0.985784
22,0.266335,-0.019997,1.095148,-0.020729,1.081989,0.622842,0.544452,91.352496,0.889714,22,1.143980,0.874141,0.985143
