R ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.466990,0.040598,0.218803,0.040598,0.218803,1.117809,0.531925,179.047604,0.619925,1,2.101444,0.475863,0.958966
2,0.510038,0.112883,0.042602,0.112935,0.042799,1.099090,0.590853,0.611363,0.512683,2,1.860175,0.537584,0.927435
3,0.546688,-0.019552,0.038118,-0.019819,0.039074,0.990950,0.702421,173.942455,0.628150,3,1.410763,0.708836,0.947832
4,0.573091,0.059242,0.343553,0.059251,0.343600,0.886584,0.823027,119.803051,0.795131,4,1.077223,0.928313,0.975400
5,0.647550,0.114480,0.468340,0.114496,0.468039,1.007840,0.818073,92.605658,0.703134,5,1.231969,0.811709,0.972785
6,0.677454,0.007131,0.548257,0.007143,0.548112,1.082816,0.796591,90.689919,0.706034,6,1.359312,0.735666,0.977735
7,0.666281,0.017018,0.600619,0.017029,0.600548,1.109601,0.764540,91.501901,0.752362,7,1.451331,0.689023,0.982952
8,0.655594,0.044682,0.664337,0.044684,0.664320,1.074165,0.777095,91.653612,0.808329,8,1.382283,0.723441,0.984355
9,0.623442,0.037201,0.761320,0.037204,0.761250,0.962716,0.824532,90.957408,0.820336,9,1.167590,0.856465,0.984894
10,0.573370,0.039003,0.843240,0.039020,0.843242,0.882414,0.827318,176.961155,0.837424,10,1.066596,0.937562,0.984340
11,0.545575,0.047282,0.896866,0.047282,0.896866,0.916298,0.758103,173.683712,0.855823,11,1.208672,0.827354,0.983226
12,0.534193,0.048644,0.949330,0.048644,0.949330,0.942389,0.721736,176.837344,0.865715,12,1.305726,0.765858,0.987276
13,0.563008,0.032505,1.022636,0.032505,1.022636,0.914567,0.783807,1.164369,0.873838,13,1.166827,0.857025,0.987618
14,0.597988,0.044477,1.072198,0.044477,1.072180,0.900718,0.845306,97.773644,0.876919,14,1.065552,0.938481,0.985370
15,0.630234,0.045764,1.137672,0.045764,1.137672,0.997830,0.804184,92.327806,0.878334,15,1.240798,0.805933,0.988636
16,0.655501,0.032090,1.184075,0.032090,1.184075,1.062078,0.785828,90.174934,0.870286,16,1.351541,0.739896,0.988482
17,0.654296,0.033925,1.221310,0.033925,1.221310,1.068652,0.779558,90.489895,0.854683,17,1.370844,0.729478,0.989171
18,0.623836,0.034147,1.273135,0.034147,1.273135,0.986012,0.805560,91.614134,0.871218,18,1.224008,0.816988,0.987668
19,0.582990,0.030189,1.338922,0.030189,1.338922,0.866609,0.856540,144.120101,0.894916,19,1.011755,0.988381,0.988251
20,0.546572,0.026348,1.392262,0.026348,1.392262,0.915564,0.760096,177.568006,0.875588,20,1.204537,0.830195,0.986796
21,0.532802,0.025932,1.427236,0.025932,1.427236,0.936686,0.724239,177.422101,0.874791,21,1.293338,0.773193,0.987603
22,0.547824,0.022930,1.465017,0.022930,1.465017,0.913013,0.763966,178.014897,0.860182,22,1.195097,0.836752,0.985981
23,0.592935,0.016847,1.516273,0.016847,1.516273,0.881230,0.856698,99.373250,0.895320,23,1.028635,0.972162,0.987396
24,0.622700,0.013649,1.571662,0.013649,1.571662,0.977833,0.810820,91.167737,0.877297,24,1.205980,0.829201,0.988537
25,0.642705,0.010572,1.606090,0.010572,1.606090,1.039924,0.786902,90.727652,0.857357,25,1.321542,0.756692,0.988185
26,0.645116,0.004680,1.632772,0.004680,1.632772,1.052225,0.780620,90.367672,0.870142,26,1.347936,0.741875,0.988491
27,0.620057,0.000054,1.663516,0.000054,1.663516,0.981993,0.803958,90.876761,0.876599,27,1.221449,0.818700,0.988324
28,0.583013,-0.003299,1.709009,-0.003299,1.709009,0.870817,0.852435,98.700679,0.897022,28,1.021564,0.978891,0.988212
29,0.548056,-0.007647,1.757319,-0.007647,1.757319,0.904496,0.771486,177.617107,0.881943,29,1.172408,0.852945,0.987511
30,0.531458,-0.013904,1.784505,-0.013904,1.784505,0.932883,0.725357,178.043511,0.868607,30,1.286102,0.777544,0.987062
31,0.543489,-0.017020,1.803793,-0.017020,1.803793,0.911934,0.758817,177.703934,0.871802,31,1.201783,0.832097,0.987615
32,0.581228,-0.023531,1.837345,-0.023531,1.837345,0.863870,0.856659,134.397878,0.888455,32,1.008418,0.991653,0.987515
33,0.614911,-0.030409,1.879182,-0.030409,1.879182,0.960158,0.815417,91.168120,0.884317,33,1.177506,0.849253,0.988725
34,0.633920,-0.035418,1.910223,-0.035418,1.910223,1.025297,0.787217,90.465960,0.877152,34,1.302433,0.767794,0.989435
