R ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.476,12.002,0.446,0.398,171.203,0.386,19,1.122,0.891,0.753
2,1.479,11.817,0.512,0.454,92.132,0.812,20,1.129,0.886,0.956
3,1.479,11.573,0.438,0.405,2.02,0.379,21,1.082,0.925,0.756
4,1.485,11.359,0.435,0.416,172.216,0.36,22,1.046,0.956,0.761
5,1.503,10.943,0.428,0.408,163.478,0.304,24,1.051,0.952,0.727
6,1.507,10.715,0.438,0.406,166.545,0.307,25,1.079,0.927,0.741
7,1.508,10.527,0.479,0.462,148.283,0.701,26,1.038,0.964,0.93
8,1.518,10.311,0.499,0.469,94.9,0.824,27,1.064,0.94,0.956
9,1.529,10.109,0.493,0.471,95.936,0.724,28,1.046,0.956,0.926
10,1.537,9.893,0.506,0.466,102.63,0.717,29,1.086,0.921,0.922
11,1.548,9.68,0.487,0.463,117.726,0.68,30,1.051,0.951,0.935
12,1.559,9.484,0.518,0.464,88.16,0.742,31,1.118,0.894,0.936
13,1.572,9.282,0.52,0.457,89.162,0.694,32,1.14,0.877,0.943
14,1.585,9.072,0.515,0.468,82.777,0.592,33,1.101,0.908,0.925
15,1.591,8.858,0.503,0.469,84.336,0.687,34,1.073,0.932,0.934
16,1.603,8.664,0.519,0.464,88.354,0.713,35,1.118,0.894,0.944
17,1.615,8.45,0.512,0.459,83.039,0.731,36,1.115,0.897,0.933
18,1.633,8.256,0.517,0.473,98.993,0.492,37,1.093,0.915,0.86
19,1.641,8.042,0.504,0.474,94.632,0.58,38,1.064,0.939,0.914
20,1.651,7.851,0.524,0.458,72.282,0.489,39,1.144,0.874,0.844
21,1.667,7.627,0.505,0.462,93.808,0.663,40,1.094,0.914,0.933
22,1.683,7.427,0.489,0.466,77.724,0.774,41,1.048,0.954,0.937
23,1.697,7.228,0.494,0.458,91.203,0.782,42,1.078,0.927,0.949
24,1.711,7.025,0.49,0.468,88.481,0.745,43,1.048,0.954,0.935
25,1.725,6.83,0.491,0.462,89.589,0.76,44,1.062,0.942,0.947
26,1.744,6.635,0.509,0.466,87.63,0.715,45,1.093,0.915,0.945
27,1.762,6.437,0.509,0.454,90.892,0.684,46,1.121,0.892,0.943
28,1.776,6.237,0.494,0.467,92.301,0.77,47,1.058,0.945,0.95
29,1.792,6.042,0.503,0.46,87.102,0.666,48,1.093,0.915,0.932
30,1.812,5.838,0.498,0.453,82.602,0.776,49,1.101,0.908,0.942
31,1.83,5.65,0.489,0.456,82.327,0.792,50,1.072,0.933,0.947
32,1.846,5.455,0.501,0.454,95.863,0.616,51,1.104,0.906,0.928
33,1.869,5.267,0.477,0.458,70.049,0.656,52,1.042,0.96,0.919
34,1.892,5.073,0.467,0.458,81.566,0.748,53,1.02,0.98,0.951
35,1.91,4.878,0.466,0.453,72.313,0.74,54,1.029,0.971,0.945
36,1.928,4.675,0.485,0.454,85.685,0.684,55,1.067,0.937,0.943
37,1.95,4.484,0.487,0.462,99.235,0.614,56,1.053,0.949,0.93
38,1.968,4.292,0.48,0.448,87.388,0.634,57,1.073,0.932,0.942
39,1.993,4.098,0.487,0.448,85.942,0.763,58,1.087,0.92,0.945
40,2.014,3.913,0.476,0.453,86.111,0.688,59,1.052,0.951,0.923
41,2.06,3.535,0.474,0.448,97.594,0.637,61,1.058,0.945,0.919
42,2.08,3.344,0.473,0.45,91.443,0.791,62,1.051,0.952,0.939
43,2.105,3.155,0.478,0.449,97.522,0.661,63,1.065,0.939,0.902
44,2.207,2.406,0.468,0.448,100.802,0.793,67,1.045,0.957,0.947
45,2.277,1.882,0.419,0.392,158.35,0.314,70,1.071,0.934,0.775
46,2.33,1.516,0.425,0.392,150.425,0.391,72,1.085,0.922,0.774
47,2.357,1.333,0.425,0.386,160.143,0.361,73,1.1,0.909,0.756
48,2.381,1.154,0.439,0.387,157.816,0.324,74,1.132,0.883,0.733
49,2.411,0.979,0.444,0.388,158.486,0.332,75,1.144,0.874,0.743
