name,start,end,volume,voltage,frame_rate,outlier,time
05683,0,1,0.2,644,29.95,False,180
05695,1,1,0.1,644,29.95,False,127
05696,1,7,0.2,644,29.95,False,294
05697,0,1,0.07,644,29.95,False,304
05706,0,1,0.025,644,29.95,False,300
05707,1,10,0.1,634,29.95,False,130
05708,0,2,0.1,634,29.95,False,76
05709,0,2,0.025,634,29.95,False,72
05710,2,5,0.025,637,29.95,False,120
05711,0,1,0.2,628,29.95,False,62
05712,0,1,0.2,628,29.95,False,120
05713,4,5,0.1,621,29.95,False,60
05714,0,1,0.1,621,29.95,True,304
05715,4,9,0.025,621,29.95,False,60
05716,3,3,0.025,621,29.95,False,327
05717,0,9,0.025,617,29.95,False,122
05718,0,4,0.2,617,29.95,False,71
05719,0,5,0.2,617,29.95,False,300
