 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.137,1.414,0.432,0.44,0.395,95.568,0.378,1,1.112,0.899,0.945
2,0.134,1.405,0.418,0.432,0.395,97.878,0.413,2,1.094,0.914,0.956
3,0.128,1.413,0.469,0.411,0.396,1.652,0.332,3,1.04,0.961,0.949
4,0.131,1.409,0.467,0.413,0.405,117.106,0.408,4,1.018,0.982,0.956
5,0.134,1.408,0.476,0.431,0.396,93.66,0.459,5,1.091,0.917,0.957
6,0.13,1.406,0.492,0.41,0.403,18.998,0.421,6,1.018,0.982,0.954
7,0.132,1.403,0.479,0.411,0.408,174.618,0.501,7,1.006,0.994,0.961
8,0.135,1.401,0.468,0.433,0.396,93.186,0.435,8,1.094,0.914,0.962
9,0.132,1.395,0.451,0.413,0.408,25.086,0.456,9,1.013,0.987,0.961
10,0.132,1.389,0.431,0.416,0.403,8.872,0.447,10,1.031,0.97,0.958
11,0.138,1.386,0.402,0.439,0.399,86.42,0.408,11,1.098,0.911,0.952
12,0.129,1.376,0.373,0.426,0.387,2.974,0.326,12,1.1,0.909,0.938
13,0.127,1.372,0.351,0.439,0.367,179.556,0.277,13,1.195,0.837,0.923
14,0.127,1.364,0.352,0.432,0.375,177.524,0.301,14,1.152,0.868,0.929
15,0.136,1.358,0.378,0.427,0.404,93.487,0.326,15,1.055,0.948,0.935
16,0.137,1.354,0.404,0.427,0.408,98.355,0.382,16,1.046,0.956,0.95
17,0.133,1.346,0.411,0.419,0.405,92.379,0.339,17,1.035,0.966,0.939
18,0.136,1.338,0.411,0.433,0.399,80.125,0.36,18,1.087,0.92,0.944
19,0.134,1.327,0.395,0.42,0.406,2.798,0.431,19,1.035,0.966,0.945
20,0.131,1.319,0.374,0.416,0.401,0.889,0.296,20,1.038,0.963,0.934
21,0.128,1.309,0.361,0.426,0.381,2.13,0.277,21,1.119,0.894,0.929
22,0.132,1.3,0.366,0.432,0.389,171.516,0.311,22,1.112,0.9,0.929
23,0.133,1.287,0.376,0.419,0.405,166.63,0.33,23,1.034,0.967,0.935
24,0.134,1.277,0.391,0.42,0.405,86.823,0.32,24,1.037,0.964,0.937
25,0.138,1.267,0.399,0.437,0.402,99.769,0.347,25,1.085,0.922,0.934
26,0.133,1.256,0.393,0.414,0.409,137.475,0.349,26,1.011,0.989,0.947
27,0.134,1.243,0.382,0.417,0.409,77.635,0.343,27,1.02,0.98,0.941
28,0.132,1.23,0.37,0.428,0.393,173.666,0.327,28,1.091,0.917,0.937
29,0.132,1.215,0.365,0.427,0.394,176.761,0.337,29,1.084,0.923,0.938
30,0.132,1.201,0.37,0.42,0.399,169.933,0.316,30,1.054,0.949,0.933
31,0.135,1.188,0.377,0.419,0.409,149.993,0.365,31,1.023,0.977,0.934
32,0.136,1.173,0.387,0.423,0.408,97.102,0.358,32,1.037,0.964,0.94
33,0.134,1.155,0.389,0.417,0.409,129.646,0.381,33,1.02,0.98,0.941
34,0.137,1.139,0.384,0.418,0.416,101.681,0.402,34,1.006,0.994,0.944
35,0.134,1.122,0.376,0.419,0.406,174.112,0.349,35,1.032,0.969,0.936
36,0.132,1.105,0.367,0.422,0.399,166.514,0.32,36,1.057,0.946,0.933
37,0.133,1.088,0.366,0.426,0.397,174.43,0.312,37,1.073,0.932,0.923
38,0.133,1.071,0.373,0.422,0.401,1.698,0.312,38,1.053,0.95,0.935
39,0.135,1.057,0.379,0.423,0.406,130.849,0.32,39,1.043,0.958,0.928
40,0.135,1.039,0.386,0.418,0.41,159.272,0.342,40,1.018,0.983,0.943
41,0.136,1.022,0.384,0.419,0.413,68.174,0.388,41,1.015,0.985,0.938
42,0.134,1.006,0.378,0.422,0.403,150.802,0.343,42,1.047,0.955,0.94
43,0.135,0.987,0.373,0.423,0.405,170.932,0.316,43,1.046,0.956,0.933
44,0.133,0.973,0.369,0.425,0.399,13.625,0.303,44,1.066,0.938,0.937
45,0.133,0.959,0.372,0.42,0.403,155.822,0.316,45,1.042,0.96,0.932
46,0.136,0.941,0.376,0.421,0.412,145.642,0.281,46,1.021,0.98,0.915
47,0.134,0.925,0.384,0.416,0.412,71.724,0.257,47,1.01,0.99,0.932
48,0.136,0.911,0.384,0.423,0.408,123.624,0.301,48,1.036,0.966,0.938
49,0.135,0.896,0.375,0.422,0.409,175.485,0.297,49,1.032,0.969,0.93
50,0.136,0.882,0.373,0.422,0.411,26.195,0.293,50,1.027,0.973,0.935
51,0.133,0.867,0.37,0.423,0.399,158.636,0.325,51,1.059,0.944,0.936
52,0.136,0.841,0.368,0.427,0.404,172.562,0.334,52,1.057,0.946,0.939
53,0.136,0.837,0.377,0.42,0.411,152.208,0.356,53,1.02,0.98,0.939
54,0.135,0.838,0.377,0.422,0.408,141.44,0.428,54,1.034,0.968,0.946
55,0.135,0.83,0.377,0.415,0.414,60.077,0.327,55,1.002,0.998,0.936
56,0.135,0.824,0.374,0.417,0.412,149.366,0.373,56,1.013,0.988,0.945
57,0.134,0.82,0.368,0.423,0.404,133.914,0.406,57,1.049,0.953,0.946
58,0.133,0.816,0.36,0.418,0.406,12.847,0.309,58,1.03,0.971,0.924
59,0.135,0.81,0.361,0.423,0.406,174.974,0.269,59,1.041,0.961,0.929
60,0.136,0.808,0.362,0.426,0.405,158.279,0.307,60,1.052,0.95,0.94
61,0.136,0.808,0.365,0.418,0.415,80.849,0.307,61,1.007,0.993,0.941
62,0.137,0.807,0.369,0.422,0.415,126.99,0.317,62,1.018,0.982,0.941
63,0.137,0.81,0.369,0.424,0.412,119.914,0.319,63,1.029,0.972,0.943
64,0.135,0.81,0.363,0.416,0.414,84.934,0.372,64,1.004,0.996,0.945
65,0.136,0.813,0.361,0.422,0.41,162.611,0.406,65,1.028,0.972,0.939
66,0.135,0.812,0.358,0.424,0.405,171.648,0.366,66,1.046,0.956,0.942
67,0.134,0.818,0.359,0.419,0.409,14.018,0.35,67,1.024,0.977,0.937
68,0.136,0.819,0.364,0.42,0.414,131.565,0.351,68,1.014,0.986,0.942
69,0.137,0.822,0.365,0.419,0.417,117.427,0.332,69,1.006,0.994,0.943
70,0.137,0.826,0.366,0.421,0.413,77.247,0.347,70,1.018,0.983,0.935
71,0.136,0.829,0.364,0.42,0.413,159.973,0.395,71,1.017,0.983,0.946
72,0.135,0.832,0.361,0.421,0.408,8.147,0.413,72,1.033,0.969,0.942
73,0.135,0.834,0.356,0.423,0.406,8.197,0.385,73,1.043,0.959,0.929
74,0.135,0.836,0.359,0.421,0.409,173.809,0.417,74,1.031,0.97,0.938
75,0.137,0.838,0.363,0.421,0.413,9.685,0.278,75,1.019,0.981,0.93
76,0.138,0.838,0.368,0.42,0.416,85.397,0.367,76,1.01,0.991,0.94
77,0.137,0.838,0.365,0.418,0.417,94.886,0.447,77,1.003,0.997,0.951
78,0.136,0.837,0.363,0.422,0.411,21.648,0.381,78,1.028,0.973,0.944
79,0.135,0.834,0.36,0.421,0.409,174.842,0.383,79,1.03,0.971,0.945
80,0.135,0.831,0.359,0.421,0.409,171.227,0.367,80,1.031,0.97,0.946
81,0.136,0.828,0.362,0.421,0.412,179.704,0.319,81,1.022,0.978,0.943
82,0.137,0.823,0.366,0.423,0.414,144.718,0.343,82,1.021,0.98,0.943
83,0.137,0.821,0.369,0.422,0.414,101.23,0.346,83,1.019,0.981,0.934
84,0.137,0.819,0.367,0.419,0.417,139.409,0.331,84,1.005,0.995,0.933
85,0.135,0.817,0.365,0.42,0.408,150.854,0.373,85,1.028,0.973,0.939
86,0.134,0.816,0.36,0.421,0.407,174.808,0.418,86,1.035,0.966,0.932
87,0.135,0.815,0.359,0.421,0.409,170.019,0.387,87,1.031,0.97,0.933
88,0.137,0.814,0.361,0.424,0.41,164.622,0.36,88,1.033,0.968,0.933
89,0.137,0.815,0.365,0.418,0.416,92.603,0.29,89,1.006,0.994,0.929
90,0.137,0.815,0.367,0.421,0.414,127.024,0.353,90,1.018,0.983,0.948
91,0.137,0.816,0.365,0.422,0.415,135.426,0.362,91,1.017,0.984,0.945
92,0.135,0.818,0.36,0.417,0.412,0.729,0.34,92,1.013,0.988,0.936
93,0.135,0.823,0.359,0.422,0.409,173.307,0.362,93,1.032,0.969,0.936
94,0.135,0.826,0.359,0.422,0.408,176.074,0.396,94,1.033,0.968,0.939
95,0.135,0.83,0.363,0.419,0.411,10.062,0.366,95,1.019,0.981,0.949
96,0.137,0.831,0.366,0.418,0.416,12.43,0.377,96,1.005,0.995,0.947
97,0.137,0.834,0.367,0.421,0.415,40.989,0.347,97,1.015,0.986,0.942
98,0.136,0.835,0.365,0.421,0.412,44.649,0.438,98,1.022,0.979,0.952
99,0.135,0.837,0.362,0.421,0.408,4.735,0.414,99,1.033,0.968,0.948
100,0.135,0.836,0.361,0.423,0.407,0.685,0.378,100,1.04,0.962,0.943
101,0.136,0.837,0.361,0.423,0.408,2.696,0.436,101,1.036,0.965,0.95
102,0.137,0.835,0.365,0.42,0.414,170.033,0.418,102,1.013,0.987,0.944
103,0.137,0.835,0.367,0.42,0.415,33.026,0.373,103,1.011,0.989,0.943
104,0.136,0.832,0.365,0.419,0.414,63.081,0.359,104,1.011,0.989,0.946
105,0.136,0.828,0.364,0.417,0.416,133.49,0.369,105,1.002,0.998,0.945
106,0.136,0.826,0.363,0.422,0.412,179.907,0.37,106,1.025,0.976,0.945
107,0.135,0.822,0.36,0.42,0.409,172.795,0.339,107,1.028,0.973,0.939
108,0.135,0.82,0.361,0.419,0.41,163.157,0.352,108,1.024,0.977,0.942
109,0.137,0.817,0.366,0.421,0.414,136.601,0.383,109,1.015,0.985,0.947
110,0.137,0.817,0.366,0.421,0.413,130.902,0.422,110,1.018,0.982,0.947
111,0.137,0.816,0.364,0.421,0.414,123.21,0.461,111,1.018,0.982,0.95
112,0.136,0.816,0.363,0.42,0.413,157.334,0.461,112,1.016,0.984,0.947
113,0.136,0.817,0.361,0.422,0.41,165.758,0.496,113,1.028,0.973,0.948
114,0.135,0.817,0.359,0.421,0.408,170.256,0.459,114,1.031,0.97,0.948
115,0.136,0.82,0.363,0.42,0.413,164.355,0.489,115,1.019,0.982,0.947
116,0.137,0.821,0.366,0.42,0.414,147.514,0.39,116,1.014,0.986,0.944
117,0.137,0.825,0.367,0.42,0.415,86.596,0.432,117,1.014,0.987,0.946
118,0.136,0.828,0.366,0.418,0.415,60.399,0.416,118,1.006,0.994,0.942
119,0.136,0.83,0.362,0.418,0.416,179.415,0.378,119,1.005,0.995,0.939
120,0.135,0.832,0.361,0.42,0.409,7.699,0.362,120,1.026,0.975,0.94
121,0.136,0.835,0.361,0.422,0.41,8.167,0.351,121,1.03,0.971,0.928
122,0.137,0.836,0.363,0.421,0.413,4.9,0.38,122,1.02,0.981,0.928
123,0.137,0.837,0.366,0.421,0.413,38.03,0.389,123,1.018,0.983,0.945
124,0.137,0.837,0.367,0.42,0.414,44.593,0.406,124,1.014,0.987,0.946
125,0.137,0.837,0.366,0.42,0.415,19.833,0.375,125,1.013,0.987,0.939
126,0.136,0.833,0.363,0.42,0.412,17.17,0.334,126,1.019,0.981,0.931
127,0.135,0.831,0.361,0.421,0.409,176.392,0.312,127,1.029,0.972,0.93
128,0.136,0.83,0.361,0.422,0.41,179.199,0.329,128,1.028,0.973,0.933
129,0.136,0.827,0.364,0.419,0.414,0.688,0.369,129,1.012,0.988,0.934
130,0.136,0.824,0.365,0.419,0.414,110.79,0.328,130,1.012,0.988,0.933
131,0.138,0.822,0.366,0.419,0.419,130.712,0.362,131,1,1,0.935
132,0.136,0.82,0.362,0.419,0.415,144.074,0.404,132,1.01,0.99,0.939
133,0.135,0.819,0.36,0.421,0.409,164.447,0.393,133,1.029,0.972,0.938
134,0.136,0.817,0.362,0.421,0.411,170.993,0.338,134,1.024,0.977,0.935
135,0.135,0.817,0.362,0.42,0.409,171.011,0.404,135,1.027,0.974,0.94
136,0.136,0.819,0.365,0.421,0.412,151.505,0.407,136,1.02,0.98,0.945
137,0.137,0.817,0.365,0.42,0.415,142.328,0.317,137,1.012,0.988,0.936
138,0.137,0.82,0.365,0.419,0.416,132.853,0.319,138,1.006,0.994,0.935
139,0.136,0.822,0.362,0.417,0.416,103.111,0.339,139,1.001,0.999,0.936
140,0.136,0.824,0.36,0.42,0.411,4.407,0.372,140,1.023,0.978,0.941
141,0.135,0.827,0.36,0.421,0.41,177.721,0.354,141,1.027,0.973,0.941
142,0.136,0.829,0.361,0.419,0.412,17.73,0.342,142,1.017,0.983,0.935
143,0.136,0.831,0.363,0.419,0.414,43.304,0.356,143,1.012,0.989,0.94
144,0.137,0.833,0.365,0.419,0.415,41.226,0.314,144,1.009,0.991,0.937
145,0.136,0.835,0.365,0.419,0.414,40.789,0.33,145,1.011,0.989,0.941
146,0.136,0.836,0.362,0.421,0.411,8.702,0.366,146,1.023,0.978,0.935
147,0.136,0.836,0.361,0.422,0.409,177.234,0.367,147,1.032,0.969,0.934
148,0.136,0.837,0.359,0.422,0.409,177.163,0.295,148,1.03,0.97,0.934
149,0.136,0.837,0.36,0.421,0.412,173.802,0.272,149,1.021,0.979,0.928
150,0.136,0.834,0.363,0.419,0.414,159.665,0.331,150,1.011,0.989,0.939
151,0.136,0.832,0.364,0.417,0.415,108.786,0.423,151,1.005,0.995,0.941
152,0.135,0.83,0.364,0.417,0.413,149.148,0.445,152,1.009,0.991,0.951
153,0.136,0.826,0.361,0.421,0.413,166.786,0.356,153,1.019,0.981,0.939
154,0.135,0.823,0.358,0.418,0.41,168.076,0.321,154,1.021,0.98,0.932
155,0.135,0.821,0.359,0.419,0.409,163.744,0.34,155,1.024,0.977,0.93
156,0.136,0.817,0.36,0.42,0.414,166.62,0.31,156,1.015,0.986,0.923
157,0.136,0.818,0.363,0.42,0.413,134.811,0.361,157,1.015,0.985,0.934
158,0.137,0.818,0.362,0.42,0.414,128.496,0.379,158,1.015,0.985,0.926
159,0.136,0.818,0.361,0.419,0.414,140.072,0.37,159,1.011,0.989,0.932
160,0.135,0.817,0.362,0.419,0.412,160.705,0.376,160,1.017,0.983,0.932
161,0.135,0.818,0.36,0.419,0.41,167.443,0.396,161,1.022,0.979,0.934
162,0.136,0.821,0.362,0.421,0.41,0.249,0.355,162,1.027,0.974,0.935
163,0.136,0.826,0.362,0.419,0.412,171.761,0.328,163,1.017,0.983,0.93
164,0.137,0.825,0.365,0.42,0.415,121.456,0.386,164,1.013,0.987,0.941
