R ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.247,1.381,1.707,0.822,0.383,179.518,0.453,10,2.15,0.465,0.89
2,0.395,1.345,1.844,0.738,0.682,147.464,0.664,11,1.081,0.925,0.939
3,0.459,1.35,2.093,0.838,0.697,99.147,0.568,12,1.202,0.832,0.891
4,0.379,1.34,2.395,0.709,0.68,159.826,0.731,13,1.043,0.958,0.951
5,0.38,1.334,2.63,0.714,0.677,102.037,0.862,14,1.054,0.949,0.958
6,0.397,1.331,2.891,0.772,0.655,92.577,0.819,15,1.179,0.848,0.959
7,0.393,1.325,3.181,0.77,0.65,92.549,0.814,16,1.184,0.845,0.954
8,0.356,1.323,3.454,0.684,0.662,161.936,0.673,17,1.034,0.968,0.95
9,0.36,1.317,3.69,0.687,0.667,100.618,0.842,18,1.031,0.97,0.956
10,0.376,1.313,3.954,0.758,0.632,89.41,0.867,19,1.199,0.834,0.964
11,0.363,1.305,4.238,0.717,0.644,90.862,0.824,20,1.114,0.897,0.96
12,0.336,1.3,4.503,0.673,0.635,174.393,0.706,21,1.059,0.944,0.954
13,0.329,1.294,4.746,0.661,0.634,160.218,0.802,22,1.043,0.959,0.948
14,0.362,1.282,5.002,0.745,0.619,89.83,0.852,23,1.203,0.832,0.962
15,0.348,1.274,5.274,0.69,0.643,89.589,0.864,24,1.073,0.932,0.964
16,0.312,1.267,5.517,0.674,0.589,175.739,0.799,25,1.146,0.873,0.951
17,0.344,1.258,5.758,0.695,0.631,93.397,0.806,26,1.102,0.907,0.953
18,0.355,1.247,6.026,0.725,0.623,91.795,0.859,27,1.165,0.858,0.967
19,0.339,1.239,6.289,0.671,0.644,97.063,0.855,28,1.043,0.959,0.962
20,0.323,1.23,6.529,0.663,0.62,175.29,0.741,29,1.069,0.936,0.951
21,0.341,1.218,6.775,0.692,0.628,91.558,0.9,30,1.103,0.907,0.968
22,0.345,1.206,7.036,0.705,0.623,89.99,0.882,31,1.132,0.883,0.967
23,0.247,1.202,7.27,0.575,0.546,0.831,0.265,32,1.053,0.949,0.699
24,0.318,1.182,7.522,0.657,0.616,2.482,0.787,33,1.067,0.937,0.937
25,0.34,1.17,7.778,0.693,0.625,92.724,0.88,34,1.109,0.901,0.971
26,0.347,1.159,8.042,0.705,0.626,90.236,0.877,35,1.126,0.888,0.963
27,0.249,1.152,8.253,0.589,0.538,3.725,0.27,36,1.095,0.913,0.723
28,0.245,1.136,8.488,0.587,0.531,7.9,0.308,37,1.106,0.904,0.713
29,0.348,1.116,8.774,0.702,0.631,92.433,0.831,38,1.112,0.899,0.954
30,0.354,1.101,9.03,0.713,0.633,91.2,0.834,39,1.125,0.889,0.961
31,0.355,1.088,9.272,0.68,0.665,162.339,0.748,40,1.023,0.978,0.936
32,0.291,1.075,9.444,0.685,0.541,2.522,0.72,41,1.267,0.789,0.951
33,0.14,1.064,9.547,0.604,0.295,179.373,0.533,42,2.051,0.487,0.927
