R ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.377,12.528,0.488,0.452,163.903,0.4,7,1.079,0.927,0.788
2,1.389,12.352,0.481,0.468,148.183,0.428,8,1.028,0.973,0.813
3,1.39,12.117,0.537,0.492,85.988,0.776,9,1.09,0.917,0.954
4,1.404,11.863,0.475,0.458,132.371,0.335,10,1.037,0.964,0.787
5,1.408,11.644,0.555,0.496,96.079,0.841,11,1.118,0.894,0.961
6,1.412,11.37,0.472,0.458,139.85,0.315,12,1.032,0.969,0.759
7,1.415,11.165,0.56,0.503,101.676,0.776,13,1.114,0.898,0.943
8,1.418,10.91,0.552,0.504,101,0.655,14,1.096,0.913,0.922
9,1.414,10.692,0.57,0.495,95.676,0.735,15,1.15,0.87,0.939
10,1.41,10.429,0.555,0.504,105.431,0.688,16,1.101,0.908,0.937
11,1.413,10.177,0.505,0.481,129.545,0.252,17,1.051,0.952,0.788
12,1.393,9.951,0.553,0.5,95.875,0.668,18,1.108,0.903,0.94
13,1.384,9.704,0.487,0.461,119.257,0.244,19,1.057,0.946,0.774
14,1.363,9.495,0.571,0.508,92.27,0.659,20,1.125,0.889,0.932
15,1.344,9.253,0.553,0.506,88.348,0.646,21,1.094,0.914,0.927
16,1.326,9.043,0.599,0.502,97.832,0.431,22,1.194,0.838,0.877
17,1.296,8.811,0.605,0.504,87.268,0.316,23,1.2,0.833,0.837
18,1.286,8.556,0.544,0.516,96.971,0.737,24,1.055,0.948,0.943
19,1.263,8.322,0.561,0.507,100.742,0.71,25,1.105,0.905,0.944
20,1.238,8.093,0.553,0.507,101.231,0.794,26,1.09,0.918,0.949
21,1.215,7.872,0.564,0.525,93.293,0.676,27,1.073,0.932,0.931
22,1.177,7.63,0.544,0.51,94.299,0.741,28,1.067,0.937,0.944
23,1.141,7.406,0.544,0.51,97.938,0.81,29,1.066,0.938,0.952
24,1.099,7.169,0.545,0.5,95.511,0.794,30,1.09,0.917,0.951
25,1.063,6.945,0.542,0.507,98.691,0.735,31,1.069,0.935,0.946
26,1.023,6.713,0.543,0.506,102.724,0.731,32,1.073,0.932,0.936
27,0.975,6.489,0.539,0.497,99.808,0.751,33,1.085,0.922,0.944
28,0.926,6.263,0.538,0.506,98.717,0.727,34,1.062,0.942,0.935
29,0.882,6.035,0.535,0.501,103.472,0.705,35,1.067,0.937,0.935
30,0.828,5.812,0.538,0.497,101.23,0.617,36,1.082,0.924,0.915
31,0.776,5.583,0.54,0.496,102.831,0.778,37,1.088,0.919,0.939
32,0.729,5.359,0.533,0.514,116.373,0.67,38,1.036,0.965,0.919
33,0.667,5.134,0.537,0.506,112.467,0.624,39,1.062,0.942,0.911
34,0.602,4.907,0.539,0.494,114.048,0.85,40,1.091,0.916,0.965
35,0.541,4.686,0.54,0.496,113.08,0.838,41,1.09,0.917,0.958
36,0.48,4.457,0.542,0.495,101.998,0.806,42,1.096,0.912,0.956
37,0.412,4.238,0.534,0.496,114.811,0.704,43,1.077,0.929,0.94
38,0.349,4.015,0.526,0.495,112.629,0.781,44,1.063,0.94,0.953
39,0.275,3.791,0.538,0.499,110.605,0.632,45,1.08,0.926,0.911
40,0.203,3.575,0.534,0.481,102.112,0.785,46,1.111,0.9,0.951
41,0.166,3.363,0.518,0.383,88.604,0.435,47,1.354,0.739,0.866
42,0.14,3.16,0.516,0.299,84.592,0.519,48,1.723,0.581,0.846
