 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.322,1.361,0.563,0.752,0.544,178.502,0.574,6,1.383,0.723,0.927
2,0.497,1.344,0.715,0.814,0.778,5.085,0.545,7,1.046,0.956,0.908
3,0.543,1.349,0.955,0.889,0.777,88.596,0.53,8,1.145,0.873,0.897
4,0.539,1.354,1.267,0.896,0.766,79.311,0.429,9,1.171,0.854,0.855
5,0.413,1.36,1.566,0.775,0.678,8.051,0.225,10,1.143,0.875,0.774
6,0.524,1.372,1.833,0.908,0.735,85.475,0.63,11,1.236,0.809,0.94
7,0.461,1.374,2.138,0.807,0.727,0.69,0.679,12,1.109,0.902,0.927
8,0.504,1.379,2.379,0.852,0.753,88.319,0.645,13,1.131,0.884,0.941
9,0.507,1.388,2.703,0.849,0.761,87.601,0.614,14,1.115,0.897,0.947
10,0.489,1.394,2.94,0.805,0.773,76.21,0.609,15,1.042,0.959,0.926
11,0.519,1.4,3.242,0.896,0.737,85.143,0.577,16,1.216,0.822,0.926
12,0.448,1.408,3.539,0.812,0.702,2.462,0.623,17,1.158,0.864,0.913
13,0.487,1.414,3.778,0.846,0.733,81.059,0.647,18,1.154,0.866,0.932
14,0.485,1.424,4.098,0.807,0.765,87.384,0.521,19,1.055,0.948,0.908
15,0.47,1.432,4.337,0.784,0.763,71.992,0.618,20,1.028,0.973,0.928
16,0.501,1.444,4.631,0.889,0.718,88.067,0.705,21,1.238,0.807,0.943
17,0.47,1.449,4.91,0.786,0.762,8.972,0.544,22,1.032,0.969,0.909
18,0.494,1.462,5.162,0.875,0.718,87.63,0.625,23,1.219,0.82,0.944
19,0.471,1.476,5.463,0.782,0.766,137.828,0.71,24,1.021,0.98,0.934
20,0.476,1.483,5.715,0.784,0.773,77.95,0.388,25,1.014,0.986,0.859
21,0.499,1.497,5.997,0.87,0.729,85.997,0.569,26,1.193,0.838,0.915
22,0.459,1.504,6.267,0.795,0.734,5.96,0.644,27,1.083,0.924,0.933
23,0.496,1.522,6.53,0.884,0.714,86.209,0.644,28,1.239,0.807,0.944
24,0.481,1.535,6.825,0.804,0.761,81.551,0.647,29,1.057,0.946,0.929
25,0.476,1.542,7.06,0.809,0.749,90.445,0.662,30,1.08,0.926,0.93
26,0.485,1.558,7.354,0.852,0.725,84.335,0.6,31,1.175,0.851,0.92
27,0.463,1.571,7.609,0.802,0.735,174.669,0.516,32,1.091,0.917,0.923
28,0.488,1.578,7.876,0.856,0.725,91.008,0.477,33,1.18,0.847,0.875
29,0.478,1.596,8.162,0.788,0.772,48.32,0.523,34,1.021,0.979,0.905
30,0.464,1.613,8.404,0.791,0.748,82.355,0.647,35,1.058,0.945,0.929
31,0.489,1.634,8.701,0.859,0.726,88.001,0.515,36,1.184,0.845,0.917
32,0.438,1.646,8.931,0.806,0.691,176.773,0.403,37,1.166,0.858,0.864
33,0.469,1.663,9.21,0.833,0.717,85.7,0.625,38,1.162,0.861,0.921
34,0.468,1.676,9.482,0.793,0.752,6.562,0.409,39,1.055,0.948,0.873
35,0.478,1.689,9.74,0.789,0.771,141.921,0.57,40,1.022,0.978,0.892
36,0.452,1.719,10,0.782,0.736,76.328,0.531,41,1.063,0.941,0.935
37,0.284,1.732,10.142,0.779,0.464,179.739,0.446,42,1.679,0.595,0.88
38,0.107,1.75,10.258,0.607,0.224,0.033,0.438,43,2.705,0.37,0.893
39,3.393,1.287,1.624,3.204,1.348,96.093,0.128,69,2.376,0.421,0.635
40,0.519,0.657,8.939,2.149,0.307,91.926,0.191,70,6.989,0.143,0.899
41,0.218,1.752,0.554,0.737,0.377,150.249,0.156,70,1.954,0.512,0.661
42,1.565,1.348,0.839,1.927,1.034,176.344,0.349,71,1.864,0.536,0.766
43,1.493,1.395,0.8,1.952,0.974,1.166,0.499,72,2.005,0.499,0.946
44,1.393,1.412,0.756,1.947,0.911,0.257,0.389,73,2.138,0.468,0.912
45,1.46,1.401,0.784,1.947,0.955,179.946,0.454,74,2.04,0.49,0.923
