 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.389,12.788,0.829,0.682,88.977,0.825,5,1.217,0.822,0.971
2,1.398,12.459,0.803,0.699,89.614,0.831,6,1.149,0.87,0.963
3,1.401,12.129,0.787,0.719,90.682,0.768,7,1.095,0.914,0.954
4,1.401,11.81,0.754,0.723,174.567,0.731,8,1.043,0.959,0.96
5,1.402,11.483,0.677,0.596,0.808,0.282,9,1.136,0.88,0.696
6,1.405,11.235,0.813,0.709,88.265,0.798,10,1.146,0.873,0.962
7,1.405,10.912,0.836,0.704,87.134,0.666,11,1.189,0.841,0.942
8,1.475,10.54,0.946,0.716,44.904,0.321,12,1.321,0.757,0.793
9,1.405,10.255,0.838,0.722,84.041,0.653,13,1.161,0.861,0.921
10,1.406,9.936,0.787,0.751,66.821,0.431,14,1.049,0.953,0.896
11,1.388,9.659,0.766,0.761,19.837,0.598,15,1.007,0.994,0.921
12,1.382,9.373,0.788,0.74,91.266,0.47,16,1.065,0.939,0.906
13,1.376,9.08,0.829,0.725,83.318,0.479,17,1.143,0.875,0.925
14,1.366,8.78,0.848,0.722,87.932,0.467,18,1.175,0.851,0.883
15,1.359,8.456,0.85,0.714,90.027,0.577,19,1.191,0.84,0.922
16,1.343,8.141,0.803,0.726,96.756,0.714,20,1.106,0.904,0.946
17,1.33,7.847,0.779,0.736,105.281,0.777,21,1.059,0.945,0.947
18,1.317,7.556,0.754,0.737,115.553,0.641,22,1.024,0.977,0.948
19,1.297,7.286,0.771,0.736,101.454,0.718,23,1.047,0.955,0.939
20,1.275,6.994,0.805,0.713,94.079,0.678,24,1.128,0.887,0.941
21,1.257,6.688,0.813,0.697,93.743,0.682,25,1.165,0.858,0.952
22,1.237,6.387,0.809,0.692,93.511,0.734,26,1.169,0.855,0.96
23,1.222,6.088,0.794,0.709,96.562,0.605,27,1.12,0.893,0.944
24,1.2,5.798,0.754,0.718,119.906,0.666,28,1.05,0.952,0.954
25,1.171,5.531,0.734,0.726,129.12,0.695,29,1.011,0.989,0.951
26,1.149,5.254,0.746,0.714,97.845,0.775,30,1.044,0.958,0.958
27,1.121,4.966,0.767,0.707,95.411,0.749,31,1.084,0.922,0.958
28,1.094,4.666,0.783,0.691,99.02,0.755,32,1.134,0.882,0.959
29,1.07,4.367,0.793,0.691,96.635,0.719,33,1.148,0.871,0.953
30,1.042,4.079,0.774,0.704,97.954,0.799,34,1.099,0.91,0.963
31,1.009,3.802,0.746,0.718,105.063,0.768,35,1.04,0.961,0.95
32,0.979,3.525,0.744,0.715,113.431,0.716,36,1.04,0.961,0.95
33,0.947,3.25,0.743,0.715,111.504,0.658,37,1.039,0.963,0.952
34,0.917,2.968,0.753,0.707,93.478,0.791,38,1.065,0.939,0.96
35,0.886,2.679,0.77,0.7,93.36,0.737,39,1.1,0.909,0.954
36,0.847,2.386,0.777,0.699,94.556,0.798,40,1.112,0.899,0.964
37,0.823,2.14,0.685,0.674,74.992,0.242,41,1.015,0.985,0.805
38,0.79,1.872,0.687,0.657,10.465,0.277,42,1.045,0.957,0.793
39,0.759,1.601,0.673,0.611,18.54,0.279,43,1.103,0.907,0.765
40,0.723,1.336,0.672,0.622,17.541,0.277,44,1.081,0.925,0.774
41,0.69,1.042,0.687,0.651,51.36,0.295,45,1.056,0.947,0.8
42,0.649,0.712,0.776,0.696,97.982,0.455,46,1.115,0.897,0.904
43,0.614,0.494,0.676,0.632,24.884,0.223,47,1.07,0.935,0.761
44,0.591,0.287,0.688,0.517,4.151,0.376,48,1.333,0.75,0.818
45,0.573,0.127,0.623,0.255,0.613,0.466,49,2.446,0.409,0.847
